timestamp,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory,pstate,error
2026/08/25 00:34:45.434, 8, 12611, 16380, 48, 28.26, 960, 5001, P3,
2026/08/25 00:34:46.528, 8, 12611, 16380, 48, 25.94, 2340, 8751, P2,
2026/08/25 00:34:47.587, 100, 12611, 16380, 51, 29.23, 1020, 5001, P3,
2026/08/25 00:34:48.675, 5, 12611, 16380, 48, 34.65, 2610, 8751, P2,
2026/08/25 00:34:49.741, 9, 12611, 16380, 48, 29.20, 885, 5001, P3,
2026/08/25 00:34:50.845, 5, 12611, 16380, 48, 35.92, 2610, 8751, P2,
2026/08/25 00:34:51.942, 11, 12611, 16380, 48, 30.01, 2610, 8751, P2,
2026/08/25 00:34:53.049, 6, 12611, 16380, 48, 31.52, 2160, 8751, P2,
2026/08/25 00:34:54.122, 9, 12611, 16380, 48, 24.45, 795, 5001, P3,
2026/08/25 00:34:55.214, 9, 12611, 16380, 49, 36.76, 2760, 8751, P2,
2026/08/25 00:34:56.318, 5, 12611, 16380, 49, 34.80, 2760, 8751, P2,
2026/08/25 00:34:57.410, 5, 12611, 16380, 48, 37.48, 2610, 8751, P2,
2026/08/25 00:34:58.515, 8, 12611, 16380, 49, 30.11, 2610, 8751, P2,
2026/08/25 00:34:59.626, 9, 12611, 16380, 49, 31.68, 2175, 8751, P2,
2026/08/25 00:35:00.732, 6, 12611, 16380, 48, 24.66, 2175, 8751, P2,
2026/08/25 00:35:01.834, 5, 12611, 16380, 48, 33.46, 2610, 8751, P2,
2026/08/25 00:35:02.910, 9, 12611, 16380, 49, 29.68, 2610, 8751, P2,
2026/08/25 00:35:03.954, 75, 12611, 16380, 50, 36.68, 2610, 8751, P2,
2026/08/25 00:35:04.997, 5, 12611, 16380, 48, 35.42, 2550, 8751, P2,
2026/08/25 00:35:06.043, 5, 12611, 16380, 48, 35.54, 2370, 8751, P2,
2026/08/25 00:35:07.137, 9, 12611, 16380, 48, 26.61, 2370, 8751, P2,
2026/08/25 00:35:08.247, 100, 12611, 16380, 50, 32.28, 2595, 8751, P2,
2026/08/25 00:35:09.320, 8, 12611, 16380, 48, 33.33, 2610, 8751, P2,
2026/08/25 00:35:10.413, 9, 12611, 16380, 48, 28.77, 855, 5001, P3,
2026/08/25 00:35:11.504, 5, 12611, 16380, 48, 37.42, 2610, 8751, P2,
2026/08/25 00:35:12.551, 100, 12611, 16380, 52, 34.18, 1365, 5001, P3,
2026/08/25 00:35:13.659, 8, 12611, 16380, 49, 38.27, 2745, 8751, P2,
2026/08/25 00:35:14.722, 8, 12611, 16380, 48, 33.74, 990, 5001, P3,
2026/08/25 00:35:15.814, 5, 12611, 16380, 48, 36.21, 2610, 8751, P2,
2026/08/25 00:35:16.879, 8, 12611, 16380, 49, 30.44, 2610, 8751, P2,
2026/08/25 00:35:17.990, 3, 12611, 16380, 49, 37.37, 2670, 8751, P2,
2026/08/25 00:35:19.133, 10, 12611, 16380, 48, 32.07, 960, 5001, P3,
2026/08/25 00:35:20.241, 5, 12611, 16380, 49, 38.45, 2745, 8751, P2,
2026/08/25 00:35:21.350, 8, 12611, 16380, 49, 35.22, 2745, 8751, P2,
2026/08/25 00:35:22.442, 5, 12611, 16380, 49, 37.49, 2610, 8751, P2,
2026/08/25 00:35:23.551, 9, 12611, 16380, 48, 29.85, 930, 5001, P3,
2026/08/25 00:35:24.673, 7, 12611, 16380, 49, 39.62, 2760, 8751, P2,
2026/08/25 00:35:25.784, 5, 12611, 16380, 50, 35.19, 2760, 8751, P2,
2026/08/25 00:35:26.909, 5, 12611, 16380, 49, 38.43, 2685, 8751, P2,
2026/08/25 00:35:28.032, 5, 12611, 16380, 49, 32.56, 990, 5001, P3,
2026/08/25 00:35:29.131, 9, 12611, 16380, 49, 37.56, 2700, 8751, P2,
2026/08/25 00:35:30.256, 5, 12611, 16380, 49, 33.51, 2700, 8751, P2,
2026/08/25 00:35:31.369, 5, 12611, 16380, 49, 38.29, 2610, 8751, P2,
2026/08/25 00:35:32.466, 9, 12611, 16380, 49, 30.62, 2610, 8751, P2,
2026/08/25 00:35:33.569, 10, 12611, 16380, 49, 35.51, 2430, 8751, P2,
2026/08/25 00:35:34.691, 5, 12611, 16380, 48, 27.83, 2430, 8751, P2,
2026/08/25 00:35:35.802, 5, 12611, 16380, 49, 35.48, 2610, 8751, P2,
2026/08/25 00:35:36.892, 5, 12611, 16380, 49, 30.12, 2610, 8751, P2,
2026/08/25 00:35:38.022, 100, 12611, 16380, 51, 35.02, 1620, 8751, P2,
2026/08/25 00:35:39.145, 5, 12611, 16380, 48, 28.66, 2475, 8751, P2,
2026/08/25 00:35:40.261, 9, 12611, 16380, 49, 35.64, 2610, 8751, P2,
2026/08/25 00:35:41.370, 5, 12611, 16380, 49, 30.83, 2610, 8751, P2,
2026/08/25 00:35:42.481, 100, 12611, 16380, 53, 31.08, 1755, 8751, P2,
2026/08/25 00:35:43.591, 5, 12611, 16380, 48, 27.99, 2430, 8751, P2,
2026/08/25 00:35:44.721, 24, 12611, 16380, 53, 34.53, 2685, 8751, P2,
2026/08/25 00:35:45.811, 5, 12611, 16380, 49, 33.91, 2685, 8751, P2,
2026/08/25 00:35:46.917, 39, 12611, 16380, 51, 30.05, 960, 5001, P3,
2026/08/25 00:35:47.993, 5, 12611, 16380, 49, 35.72, 2475, 8751, P2,
2026/08/25 00:35:49.085, 100, 12611, 16380, 51, 34.09, 2700, 8751, P2,
2026/08/25 00:35:50.174, 10, 12611, 16380, 49, 37.03, 2700, 8751, P2,
2026/08/25 00:35:51.260, 9, 12611, 16380, 49, 31.75, 900, 5001, P3,
2026/08/25 00:35:52.336, 40, 12611, 16380, 50, 33.72, 1785, 8751, P2,
2026/08/25 00:35:53.405, 42, 12611, 16380, 50, 39.14, 1785, 8751, P2,
2026/08/25 00:35:54.468, 41, 12611, 16380, 50, 39.22, 1740, 8751, P2,
2026/08/25 00:35:55.545, 35, 12611, 16380, 49, 38.33, 1680, 8751, P2,
2026/08/25 00:35:56.612, 36, 12611, 16380, 49, 38.18, 1635, 8751, P2,
2026/08/25 00:35:57.675, 37, 12611, 16380, 49, 38.63, 1650, 8751, P2,
2026/08/25 00:35:58.748, 34, 12611, 16380, 49, 38.21, 1650, 8751, P2,
2026/08/25 00:35:59.833, 37, 12611, 16380, 50, 36.76, 1845, 8751, P2,
2026/08/25 00:36:00.916, 40, 12611, 16380, 50, 38.53, 1845, 8751, P2,
2026/08/25 00:36:01.995, 40, 12611, 16380, 50, 39.16, 1755, 8751, P2,
2026/08/25 00:36:03.044, 9, 2793, 16380, 48, 22.44, 2610, 8751, P2,
2026/08/25 00:36:04.090, 0, 2793, 16380, 49, 25.02, 2610, 8751, P2,
2026/08/25 00:36:05.134, 0, 11267, 16380, 49, 29.65, 2760, 8751, P2,
2026/08/25 00:36:06.170, 0, 11267, 16380, 49, 32.12, 2760, 8751, P2,
2026/08/25 00:36:07.208, 0, 11267, 16380, 49, 29.77, 2610, 8751, P2,
2026/08/25 00:36:08.251, 26, 11267, 16380, 49, 27.45, 2610, 8751, P2,
2026/08/25 00:36:09.294, 27, 11267, 16380, 48, 28.65, 2160, 8751, P2,
2026/08/25 00:36:10.337, 20, 11867, 16380, 48, 23.81, 1830, 8751, P2,
2026/08/25 00:36:11.427, 3, 11965, 16380, 49, 31.92, 2760, 8751, P2,
2026/08/25 00:36:12.549, 11, 11969, 16380, 49, 33.55, 2760, 8751, P2,
2026/08/25 00:36:13.634, 39, 11657, 16380, 50, 32.30, 1635, 8751, P2,
2026/08/25 00:36:14.718, 37, 11657, 16380, 50, 39.81, 1635, 8751, P2,
2026/08/25 00:36:15.802, 37, 11657, 16380, 49, 38.62, 1860, 8751, P2,
2026/08/25 00:36:16.891, 36, 11657, 16380, 50, 39.86, 1860, 8751, P2,
2026/08/25 00:36:17.945, 36, 11657, 16380, 50, 40.18, 1740, 8751, P2,
2026/08/25 00:36:19.044, 39, 11657, 16380, 50, 40.00, 1665, 8751, P2,
2026/08/25 00:36:20.148, 38, 11657, 16380, 50, 39.93, 1620, 8751, P2,
2026/08/25 00:36:21.235, 36, 11657, 16380, 50, 39.02, 1920, 8751, P2,
2026/08/25 00:36:22.361, 5, 12123, 16380, 50, 42.72, 2760, 8751, P2,
2026/08/25 00:36:23.472, 5, 12123, 16380, 49, 33.66, 2760, 8751, P2,
2026/08/25 00:36:24.563, 6, 12125, 16380, 48, 29.12, 1980, 8751, P2,
